Organism_Code	Organism_Name
hai	Hipposideros armiger (great roundleaf bat)
rfq	Rhinolophus ferrumequinum (greater horseshoe bat)
pale	Pteropus alecto (black flying fox)
pgig	Pteropus vampyrus (Indian flying fox)
pvp	Pteropus vampyrus (large flying fox)
ray	Rousettus aegyptiacus (Egyptian rousette)
mjv	Manis javanica (Malayan pangolin)
tod	Talpa occidentalis (Iberian mole)
sara	Sorex araneus (European shrew)
sfum	Sorex fumeus (smoky shrew)
setr	Suncus etruscus (white-toothed pygmy shrew)
lav	Loxodonta africana (African savanna elephant)
tmu	Trichechus manatus latirostris (Florida manatee)
etf	Echinops telfairi (small Madagascar hedgehog)
dnm	Dasypus novemcinctus (nine-banded armadillo)
mdo	Monodelphis domestica (gray short-tailed opossum)
gas	Gracilinanus agilis (agile gracile opossum)
shr	Sarcophilus harrisii (Tasmanian devil)
afz	Antechinus flavipes (yellow-footed antechinus)
pcw	Phascolarctos cinereus (koala)
tvp	Trichosurus vulpecula (common brushtail)
pbrv	Petaurus breviceps papuanus (sugar glider)
oaa	Ornithorhynchus anatinus (platypus)
tacu	Tachyglossus aculeatus (Australian echidna)
gga	Gallus gallus (chicken)
pcoc	Phasianus colchicus (Ring-necked pheasant)
mgp	Meleagris gallopavo (turkey)
cjo	Coturnix japonica (Japanese quail)
tpai	Tympanuchus pallidicinctus (lesser prairie-chicken)
lmut	Lagopus muta (rock ptarmigan)
nmel	Numida meleagris (helmeted guineafowl)
apla	Anas platyrhynchos (mallard)
acyg	Anser cygnoides (swan goose)
cata	Cygnus atratus (black swan)
aful	Aythya fuligula (tufted duck)
tgu	Taeniopygia guttata (zebra finch)
lsr	Lonchura striata (white-rumped munia)
scan	Serinus canaria (common canary)
pmoa	Passer montanus (Eurasian tree sparrow)
otc	Onychostruthus taczanowskii (white-rumped snowfinch)
pruf	Pyrgilauda ruficollis (rufous-necked snowfinch)
atrc	Agelaius tricolor (tricolored blackbird)
gfr	Geospiza fortis (medium ground-finch)
fab	Ficedula albicollis (collared flycatcher)
oma	Oenanthe melanoleuca (Eastern black-eared wheatear)
phi	Pseudopodoces humilis (Tibetan ground-tit)
pmaj	Parus major (Great Tit)
ccae	Cyanistes caeruleus (blue tit)
ccw	Corvus cornix (hooded crow)
cbrc	Corvus brachyrhynchos (American crow)
acoe	Aphelocoma coerulescens (scrub jay)
etl	Empidonax traillii (willow flycatcher)
zab	Zonotrichia albicollis (white-throated sparrow)
zle	Zonotrichia leucophrys gambelii (white-crowned sparrow)
achl	Acanthisitta chloris (rifleman)
svg	Sturnus vulgaris (common starling)
mmea	Malurus melanocephalus (red-backed fairy wren)
hrt	Hirundo rustica (Barn swallow)
sati	Sylvia atricapilla (blackcap)
ccic	Cinclus cinclus (white-throated dipper)
fpg	Falco peregrinus (peregrine falcon)
fch	Falco cherrug (Saker falcon)
ccri	Cariama cristata (Red-legged seriema)
nnt	Nestor notabilis (Kea)
shab	Strigops habroptila (Kakapo)
acun	Athene cunicularia (burrowing owl)
tala	Tyto alba (Barn owl)
achc	Aquila chrysaetos chrysaetos (golden eagle)
hald	Haliaeetus albicilla (white-tailed eagle)
hle	Haliaeetus leucocephalus (bald eagle)
agen	Astur gentilis (Northern goshawk)
hhar	Harpia harpyja (harpy eagle)
gcl	Gymnogyps californianus (California condor)
csti	Colius striatus (speckled mousebird)
ldi	Leptosomus discolor (cuckoo roller)
mnb	Merops nubicus (carmine bee-eater)
dpub	Dryobates pubescens (Downy woodpecker)
ppus	Pogoniulus pusillus (red-fronted tinkerbird)
avit	Apaloderma vittatum (bar-tailed trogon)
brhi	Buceros rhinoceros silvestris (rhinoceros hornbill)
egz	Egretta garzetta (little egret)
nni	Nipponia nippon (crested ibis)
pcri	Pelecanus crispus (Dalmatian pelican)
pcao	Phalacrocorax carbo (great cormorant)
padl	Pygoscelis adeliae (Adelie penguin)
afor	Aptenodytes forsteri (emperor penguin)
fga	Fulmarus glacialis (Northern fulmar)
gste	Gavia stellata (red-throated loon)
clv	Columba livia (rock pigeon)
mui	Mesitornis unicolor (brown roatelo)
pguu	Pterocles gutturalis (yellow-throated sandgrouse)
plet	Phaethon lepturus (White-tailed tropicbird)
ehs	Eurypyga helias (sunbittern)
cmac	Chlamydotis macqueenii (Macqueen's bustard)
cuca	Cuculus canorus (common cuckoo)
teo	Tauraco erythrolophus (red-crested turaco)
breg	Balearica regulorum gibbericeps (East African grey crowned-crane)
oha	Opisthocomus hoazin (hoatzin)
acar	Antrostomus carolinensis (chuck-will's-widow)
cpea	Chaetura pelagica (chimney swift)
cvf	Charadrius vociferus (killdeer)
rtd	Rissa tridactyla (black-legged kittiwake)
crid	Chroicocephalus ridibundus (black-headed gull)
aam	Apteryx mantelli mantelli (North Island brown kiwi)
arow	Apteryx rowi (Okarito brown kiwi)
npd	Nothoprocta perdicaria (Chilean tinamou)
tgt	Tinamus guttatus (white-throated tinamou)
dne	Dromaius novaehollandiae (emu)
scam	Struthio camelus australis (South African ostrich)
asn	Alligator sinensis (Chinese alligator)
amj	Alligator mississippiensis (American alligator)
cpoo	Crocodylus porosus (Australian saltwater crocodile)
ggn	Gavialis gangeticus (Gharial)
pss	Pelodiscus sinensis (Chinese soft-shelled turtle)
cmy	Chelonia mydas (green sea turtle)
ccay	Caretta caretta (Loggerhead turtle)
dcc	Dermochelys coriacea (leatherback sea turtle)
cpic	Chrysemys picta (western painted turtle)
tst	Trachemys scripta elegans (red-eared slider)
cabi	Chelonoidis abingdonii (Abingdon island giant tortoise)
mrv	Mauremys reevesii (Reeves's turtle)
acs	Anolis carolinensis (green anole)
asao	Anolis sagrei ordinatus (Brown anole)
pvt	Pogona vitticeps (central bearded dragon)
sund	Sceloporus undulatus (fence lizard)
pbi	Python bivittatus (Burmese python)
pmur	Protobothrops mucrosquamatus (Taiwan habu)
ctig	Crotalus tigris (Tiger rattlesnake)
tsr	Thamnophis sirtalis (common garter snake)
pgut	Pantherophis guttatus (corn snake)
apri	Ahaetulla prasina (Asian vine snake)
ptex	Pseudonaja textilis (eastern brown snake)
nss	Notechis scutatus (mainland tiger snake)
vko	Varanus komodoensis (Komodo dragon)
pmua	Podarcis muralis (common wall lizard)
praf	Podarcis raffonei (Aeolian wall lizard)
zvi	Zootoca vivipara (common lizard)
hcg	Hemicordylus capensis (graceful crag lizard)
gja	Gekko japonicus (Schlegel's Japanese gecko)
stow	Sphaerodactylus townsendi (Townsend's least gecko)
emc	Eublepharis macularius (Leopard gecko)
xla	Xenopus laevis (African clawed frog)
xtr	Xenopus tropicalis (tropical clawed frog)
npr	Nanorana parkeri (Xizang Plateau frog)
rtem	Rana temporaria (common frog)
bbuf	Bufo bufo (common toad)
bgar	Bufo gargarizans (Asiatic toad)
pwl	Pleurodeles waltl (Iberian ribbed newt)
muo	Microcaecilia unicolor
gsh	Geotrypetes seraphini (Gaboon caecilian)
dre	Danio rerio (zebrafish)
srx	Sinocyclocheilus rhinocerous
sanh	Sinocyclocheilus anshuiensis
