Uniprot_ID	KEGG_rno
A0A0G2K8J3	NA
A0A0G2K8T6	NA
A0A0G2K929	NA
A0A0G2K970	NA
A0A0G2K986	NA
A0A0G2K987	NA
A0A0G2K9L3	NA
A0A0G2K9T1	NA
A0A0G2K9U6	NA
A0A0G2KA71	NA
A0A0G2KAA8	NA
A0A0G2KAA9	NA
A0A0G2KAB9	NA
A0A0G2KAC1	NA
A0A0G2KAF5	NA
A0A0G2KAH3	NA
A0A0G2KAS8	NA
A0A0G2KAS9	NA
A0A0G2KAT2	NA
A0A0G2KAT3	NA
A0A0G2KB10	NA
A0A0G2KB42	NA
A0A0G2KB58	NA
A0A0G2KB63	NA
A0A0G2KB64	NA
A0A0G2KBB9	NA
A0A0G2KBC4	NA
A0A0G2KBC7	NA
A0A0G2QC09	NA
A0A0G2QC33	NA
A0A0G2QC41	NA
A0A0H2UH92	NA
A0A0H2UHE8	NA
A0A0H2UHH7	NA
A0A0H2UHI2	NA
A0A0H2UHR3	NA
A0A0H2UHX5	NA
A0A0R4J8U1	rno:301348
A0A0U1RS13	NA
A0A0U1ZFN5	NA
A0A140TA93	rno:690043
A0A140TAA7	NA
A0A140TAB8	NA
A0A140TAD2	NA
A0A140TAH4	NA
A0A1B0GWM1	NA
A0A1B0GWR2	NA
A0A1B0GWS3	NA
A0A1W2Q671	NA
A0A1W2Q672	NA
A0A1W2Q695	NA
A0A1W2Q6L2	NA
A0A3B4PZE1	NA
A0A5H1ZRV1	NA
A0A6N3IN21	rno:360816
A0A8I5XVD8	NA
A0A8I5XW09	NA
A0A8I5XWM0	NA
A0A8I5XWT8	NA
A0A8I5Y164	NA
A0A8I5Y1F6	NA
A0A8I5Y1L1	NA
A0A8I5Y1P5	NA
A0A8I5Y1S2	NA
A0A8I5Y1S7	NA
A0A8I5Y1T6	NA
A0A8I5Y206	NA
A0A8I5Y222	NA
A0A8I5Y224	NA
A0A8I5Y241	NA
A0A8I5Y4R7	NA
A0A8I5Y501	NA
A0A8I5Y5B0	NA
A0A8I5Y5J6	NA
A0A8I5Y5Q6	NA
A0A8I5Y696	NA
A0A8I5Y6B5	NA
A0A8I5Y6F1	NA
A0A8I5Y6H1	NA
A0A8I5Y6H8	NA
A0A8I5Y6L2	NA
A0A8I5Y6T0	NA
A0A8I5Y6Z3	rno:363328
A0A8I5Y708	NA
A0A8I5Y728	NA
A0A8I5Y7L2	NA
A0A8I5Y7L4	NA
A0A8I5Y7N7	NA
A0A8I5Y7R6	NA
A0A8I5Y7V6	NA
A0A8I5Y8A4	NA
A0A8I5Y915	NA
A0A8I5Y9E9	NA
A0A8I5Y9Y9	NA
A0A8I5YBI2	NA
A0A8I5YBK7	NA
A0A8I5YBQ9	NA
A0A8I5YBX7	NA
A0A8I5YC43	NA
A0A8I5YC80	NA
A0A8I5YC99	NA
A0A8I5YCC9	NA
A0A8I5ZJ94	NA
A0A8I5ZJB8	NA
A0A8I5ZJB9	NA
A0A8I5ZJE7	NA
A0A8I5ZJF2	NA
A0A8I5ZJI2	NA
A0A8I5ZJJ9	NA
A0A8I5ZK23	NA
A0A8I5ZKF7	NA
A0A8I5ZKH0	NA
A0A8I5ZKK3	NA
A0A8I5ZKK9	NA
A0A8I5ZKN7	NA
A0A8I5ZKP7	NA
A0A8I5ZKQ3	NA
A0A8I5ZKU9	NA
A0A8I5ZKV9	NA
A0A8I5ZKY9	NA
A0A8I5ZL09	NA
A0A8I5ZL19	NA
A0A8I5ZL32	NA
A0A8I5ZL77	NA
A0A8I5ZLE7	NA
A0A8I5ZLF3	NA
A0A8I5ZLI7	NA
A0A8I5ZLK2	rno:295037
A0A8I5ZLK5	NA
A0A8I5ZLR4	NA
A0A8I5ZLS2	NA
A0A8I5ZLV4	NA
A0A8I5ZM12	NA
A0A8I5ZM14	NA
A0A8I5ZM74	NA
A0A8I5ZMF2	NA
A0A8I5ZMJ2	NA
A0A8I5ZMN4	NA
A0A8I5ZMR6	NA
A0A8I5ZN27	NA
A0A8I5ZN92	NA
A0A8I5ZNC3	NA
A0A8I5ZND3	NA
A0A8I5ZNK2	NA
A0A8I5ZNN3	NA
A0A8I5ZNU3	NA
A0A8I5ZNW7	NA
A0A8I5ZNX4	NA
A0A8I5ZP25	NA
A0A8I5ZP60	NA
A0A8I5ZP83	NA
A0A8I5ZP89	NA
A0A8I5ZPN3	NA
A0A8I5ZPQ6	NA
A0A8I5ZPS7	NA
A0A8I5ZPT6	NA
A0A8I5ZPU6	NA
A0A8I5ZPU7	NA
A0A8I5ZQ07	NA
A0A8I5ZQ60	NA
A0A8I5ZQ88	NA
A0A8I5ZQA3	NA
A0A8I5ZQB9	NA
A0A8I5ZQD4	NA
A0A8I5ZQE2	NA
A0A8I5ZQN2	NA
A0A8I5ZQV4	NA
A0A8I5ZQY6	rno:364712
A0A8I5ZQZ0	NA
A0A8I5ZR20	rno:680586
A0A8I5ZR41	NA
A0A8I5ZR45	NA
A0A8I5ZR66	NA
A0A8I5ZR70	NA
A0A8I5ZR99	NA
A0A8I5ZRC4	NA
A0A8I5ZRJ7	NA
A0A8I5ZRK6	NA
A0A8I5ZRL9	NA
A0A8I5ZRN5	NA
A0A8I5ZRU7	NA
A0A8I5ZRV1	NA
A0A8I5ZRX1	NA
A0A8I5ZRY1	NA
A0A8I5ZS05	NA
A0A8I5ZS21	NA
A0A8I5ZS64	NA
A0A8I5ZS66	NA
A0A8I5ZSF9	NA
A0A8I5ZSH0	NA
A0A8I5ZSH4	NA
A0A8I5ZSH5	NA
A0A8I5ZSK1	NA
A0A8I5ZSM1	NA
A0A8I5ZSS0	NA
A0A8I5ZT26	NA
A0A8I5ZT41	NA
A0A8I5ZT45	NA
A0A8I5ZT68	NA
A0A8I5ZTA7	NA
A0A8I5ZTN5	rno:315150
A0A8I5ZTP7	NA
A0A8I5ZTP8	NA
A0A8I5ZTY9	NA
A0A8I5ZU24	NA
A0A8I5ZU27	NA
A0A8I5ZU36	NA
A0A8I5ZU83	NA
A0A8I5ZUC0	NA
A0A8I5ZUE5	NA
A0A8I5ZUF4	NA
A0A8I5ZUJ3	NA
A0A8I5ZUL6	NA
A0A8I5ZUN3	NA
A0A8I5ZV49	NA
A0A8I5ZV95	NA
A0A8I5ZVA4	NA
A0A8I5ZVC3	NA
A0A8I5ZVE3	NA
A0A8I5ZVE4	NA
A0A8I5ZVG2	NA
A0A8I5ZVI7	NA
A0A8I5ZVJ8	NA
A0A8I5ZVL1	NA
A0A8I5ZVL7	NA
A0A8I5ZVN0	NA
A0A8I5ZVT6	NA
A0A8I5ZVY4	NA
A0A8I5ZVZ5	NA
A0A8I5ZW24	NA
A0A8I5ZW41	NA
A0A8I5ZW61	NA
A0A8I5ZW83	NA
A0A8I5ZWB0	NA
A0A8I5ZWC2	NA
A0A8I5ZWI9	NA
A0A8I5ZWJ2	NA
A0A8I5ZWP6	NA
A0A8I5ZWU2	NA
A0A8I5ZWZ0	NA
A0A8I5ZWZ3	NA
A0A8I5ZWZ7	NA
A0A8I5ZX18	NA
A0A8I5ZX32	NA
A0A8I5ZXI9	NA
A0A8I5ZXM5	NA
A0A8I5ZXN2	NA
A0A8I5ZXP8	NA
A0A8I5ZXR3	NA
A0A8I5ZXU9	NA
A0A8I5ZY10	NA
A0A8I5ZY17	NA
A0A8I5ZY28	NA
A0A8I5ZY36	NA
A0A8I5ZY39	NA
A0A8I5ZY41	NA
A0A8I5ZYB4	NA
A0A8I5ZYG3	NA
A0A8I5ZYJ8	NA
A0A8I5ZYL1	NA
A0A8I5ZYL5	NA
A0A8I5ZYN7	NA
A0A8I5ZYP2	NA
A0A8I5ZYW7	NA
A0A8I5ZYX7	NA
A0A8I5ZYY9	NA
A0A8I5ZZ14	NA
A0A8I5ZZ18	NA
A0A8I5ZZ73	NA
A0A8I5ZZ88	NA
A0A8I5ZZU1	NA
A0A8I5ZZX3	NA
A0A8I6A002	NA
A0A8I6A017	NA
A0A8I6A027	NA
A0A8I6A032	NA
A0A8I6A085	NA
A0A8I6A091	NA
A0A8I6A095	NA
A0A8I6A0B6	NA
A0A8I6A0F8	NA
A0A8I6A0G0	NA
A0A8I6A0H1	NA
A0A8I6A0J7	NA
A0A8I6A0U8	NA
A0A8I6A0U9	NA
A0A8I6A132	NA
A0A8I6A172	NA
A0A8I6A188	NA
A0A8I6A1B9	NA
A0A8I6A1E0	NA
A0A8I6A1G8	NA
A0A8I6A1P8	NA
A0A8I6A1V1	NA
A0A8I6A1X9	NA
A0A8I6A218	rno:500820
A0A8I6A220	NA
A0A8I6A252	NA
A0A8I6A271	NA
A0A8I6A280	NA
A0A8I6A2F5	NA
A0A8I6A2G7	NA
A0A8I6A2I0	NA
A0A8I6A2N6	NA
A0A8I6A2S5	NA
A0A8I6A2U6	NA
A0A8I6A2Y1	NA
A0A8I6A2Z2	NA
A0A8I6A303	NA
A0A8I6A306	NA
A0A8I6A3A4	NA
A0A8I6A3C7	NA
A0A8I6A3G2	NA
A0A8I6A3G4	NA
A0A8I6A3R4	NA
A0A8I6A3V5	NA
A0A8I6A434	NA
A0A8I6A452	NA
A0A8I6A469	NA
A0A8I6A4A2	rno:309243
A0A8I6A4C5	NA
A0A8I6A4H2	NA
A0A8I6A4J2	NA
A0A8I6A4J5	NA
A0A8I6A4L1	NA
A0A8I6A4L5	NA
A0A8I6A4M0	NA
A0A8I6A4M7	NA
A0A8I6A4N6	NA
A0A8I6A4V6	NA
A0A8I6A545	NA
A0A8I6A5C8	NA
A0A8I6A5I9	NA
A0A8I6A5N7	NA
A0A8I6A5N8	NA
A0A8I6A5Q6	NA
A0A8I6A5T3	NA
A0A8I6A5V4	NA
A0A8I6A5W7	NA
A0A8I6A5X3	NA
A0A8I6A5Y7	NA
A0A8I6A612	NA
A0A8I6A614	NA
A0A8I6A620	NA
A0A8I6A642	NA
A0A8I6A686	NA
A0A8I6A6H6	NA
A0A8I6A6J7	NA
A0A8I6A6L0	NA
A0A8I6A6L1	NA
A0A8I6A6Q2	NA
A0A8I6A6R5	NA
A0A8I6A6T6	NA
A0A8I6A6W3	NA
A0A8I6A706	NA
A0A8I6A709	NA
A0A8I6A761	NA
A0A8I6A789	NA
A0A8I6A794	NA
A0A8I6A7A3	NA
A0A8I6A7C4	NA
A0A8I6A7G7	NA
A0A8I6A7H6	NA
A0A8I6A7M0	rno:317256
A0A8I6A7N8	NA
A0A8I6A7Q7	NA
A0A8I6A7Z0	NA
A0A8I6A803	NA
A0A8I6A811	NA
A0A8I6A813	NA
A0A8I6A851	NA
A0A8I6A884	NA
A0A8I6A897	NA
A0A8I6A8A5	NA
A0A8I6A8A9	NA
A0A8I6A8R7	NA
A0A8I6A8X1	NA
A0A8I6A920	NA
A0A8I6A973	NA
A0A8I6A978	NA
A0A8I6A999	NA
A0A8I6A9A2	NA
A0A8I6A9E8	NA
A0A8I6A9I5	NA
A0A8I6A9P3	NA
A0A8I6A9R2	NA
A0A8I6A9R5	NA
A0A8I6A9T0	NA
A0A8I6A9V4	NA
A0A8I6A9Y4	NA
A0A8I6AA26	NA
A0A8I6AA94	NA
A0A8I6AAG4	NA
A0A8I6AAJ0	NA
A0A8I6AAS7	NA
A0A8I6AAZ0	NA
A0A8I6AB01	NA
A0A8I6AB19	NA
A0A8I6AB32	NA
A0A8I6AB50	NA
A0A8I6AB52	NA
A0A8I6AB70	rno:310392
A0A8I6ABB5	NA
A0A8I6ABC0	NA
A0A8I6ABG2	NA
A0A8I6ABK4	NA
A0A8I6ABP1	NA
A0A8I6ABU1	NA
A0A8I6ABX1	NA
A0A8I6ABZ7	NA
A0A8I6AC12	rno:304109
A0A8I6AC37	NA
A0A8I6AC46	NA
A0A8I6AC77	NA
A0A8I6ACA3	NA
A0A8I6ACF8	NA
A0A8I6ACM8	NA
A0A8I6ACN5	NA
A0A8I6ACW3	NA
A0A8I6ACX4	NA
A0A8I6ACZ0	NA
A0A8I6AD25	NA
A0A8I6AD36	NA
A0A8I6ADG6	NA
A0A8I6ADI5	NA
A0A8I6ADJ7	NA
A0A8I6ADL5	NA
A0A8I6ADM3	NA
A0A8I6ADM6	NA
A0A8I6ADP3	NA
A0A8I6ADQ0	NA
A0A8I6ADR2	NA
A0A8I6ADV9	NA
A0A8I6ADX8	NA
A0A8I6AE51	NA
A0A8I6AEA5	NA
A0A8I6AEE9	NA
A0A8I6AEF4	NA
A0A8I6AEH7	NA
A0A8I6AEL0	rno:365057
A0A8I6AEM0	NA
A0A8I6AEW8	NA
A0A8I6AEZ5	NA
A0A8I6AF12	NA
A0A8I6AF13	NA
A0A8I6AF61	NA
A0A8I6AF66	NA
A0A8I6AFD4	NA
A0A8I6AFF5	NA
A0A8I6AFF7	NA
A0A8I6AFG7	NA
A0A8I6AFH2	NA
A0A8I6AFL3	NA
A0A8I6AFM4	NA
A0A8I6AFV6	NA
A0A8I6AFX4	NA
A0A8I6AFX5	NA
A0A8I6AFY4	NA
A0A8I6AG89	NA
A0A8I6AG90	NA
A0A8I6AGH1	NA
A0A8I6AGS7	NA
A0A8I6AGV8	NA
A0A8I6AH11	NA
A0A8I6AH26	NA
A0A8I6AH32	NA
A0A8I6AH39	NA
A0A8I6AHA9	NA
A0A8I6AHB5	NA
A0A8I6AHD2	NA
A0A8I6AHI1	NA
A0A8I6AHI4	NA
A0A8I6AHK0	NA
A0A8I6AHN7	NA
A0A8I6AHN8	NA
A0A8I6AHS6	NA
A0A8I6AHV6	NA
A0A8I6AHZ0	NA
A0A8I6AI17	NA
A0A8I6AI37	NA
A0A8I6AI55	NA
A0A8I6AI60	NA
A0A8I6AI75	NA
A0A8I6AI89	NA
A0A8I6AIB0	NA
A0A8I6AIB6	NA
A0A8I6AIG5	NA
A0A8I6AIG6	NA
A0A8I6AIL0	NA
A0A8I6AIS3	NA
A0A8I6AIS5	NA
A0A8I6AIV5	NA
A0A8I6AIV9	NA
A0A8I6AJ02	NA
A0A8I6AJ23	NA
A0A8I6AJ66	NA
A0A8I6AJ77	NA
A0A8I6AJ90	NA
A0A8I6AJD7	NA
A0A8I6AJE4	NA
A0A8I6AJE9	NA
A0A8I6AJF6	NA
A0A8I6AJG3	NA
A0A8I6AJH7	NA
A0A8I6AJI8	NA
A0A8I6AJK7	NA
A0A8I6AJP0	NA
A0A8I6AJU1	NA
A0A8I6AJV5	NA
A0A8I6AJW9	NA
A0A8I6AK89	NA
A0A8I6AK95	NA
A0A8I6AKD5	NA
A0A8I6AKJ4	NA
A0A8I6AL23	NA
A0A8I6AL48	NA
A0A8I6AL64	NA
A0A8I6AL97	NA
A0A8I6ALB1	NA
A0A8I6ALD8	NA
A0A8I6ALW0	NA
A0A8I6ALY1	NA
A0A8I6ALZ7	NA
A0A8I6ALZ9	NA
A0A8I6AM03	NA
A0A8I6AM05	NA
A0A8I6AM21	NA
A0A8I6AM23	NA
A0A8I6AM39	NA
A0A8I6AMA6	NA
A0A8I6AMD5	NA
A0A8I6AME1	NA
A0A8I6AMK5	rno:308870
A0A8I6AMS6	rno:362965
A0A8I6AMU5	NA
A0A8I6AMW4	NA
A0A8I6AN06	NA
A0A8I6AN32	NA
A0A8I6AN60	NA
A0A8I6AN69	NA
A0A8I6AN81	NA
A0A8I6AN87	NA
