Uniprot_ID	KEGG_Gene_ID
A2RT67	mmu:105841
A2RTF1	mmu:271036
A3FIN4	mmu:320571
A3KFM7	mmu:71389
A3KFX0	mmu:230718
A3KG59	mmu:242377
A3KG93	NA
A3KGF7	mmu:18796
A3KGS3	mmu:241694
A3KGV1	mmu:18286
A4Q9E5	mmu:101100
A4Q9E8	mmu:237930
A4Q9F0	mmu:70892
A4Q9F1	mmu:239591
A4Q9F3	mmu:330010
A4Q9F4	mmu:74410
A4QPC6	mmu:238555
A4UUI3	mmu:17472
A6H630	mmu:73419
A6H639	mmu:21645
A6H687	mmu:66406
A6H6A9	mmu:29809
A6H6E2	mmu:105450
A6H8H2	mmu:329877
A6H8H5	mmu:98741
A6PWV3	mmu:69314
A6X8Z5	mmu:12549
A6X935	mmu:16427
A7L9Z8	mmu:69047
A7M7C7	mmu:664805
A7MCT6	mmu:214253
A7RDN6	NA
A7TZE6	mmu:639781
A8VU90	mmu:234396
A9Q751	mmu:226356
B0F2B4	NA
B0V2N1	mmu:19280
B1AQJ2	mmu:72344
B1AR17	mmu:216848
B1AS29	mmu:14807
B1ASB6	mmu:622480
B1ASP2	NA
B1ATI0	NA
B1AUH1	mmu:19273
B1AVY7	mmu:16558
B1AWC8	NA
B1AWC9	NA
B1AWD0	mmu:18578
B1AWD1	NA
B1AWL2	mmu:242466
B1AWN4	mmu:319767
B1AWN6	mmu:110876
B1AWS8	NA
B1AXD8	mmu:433693
B1AXF5	NA
B1AXV0	mmu:230235
B1AY10	mmu:74164
B1AY15	mmu:635253
B1AYL1	mmu:20272
B1AZ99	mmu:73162
B1AZI6	mmu:331401
B1AZP2	mmu:228836
B1B0V2	mmu:102991
B2KF05	mmu:268936
B2RPY5	mmu:240888
B2RQC6	mmu:69719
B2RQL2	mmu:216021
B2RQR8	mmu:107522
B2RR83	mmu:240255
B2RRD7	mmu:78783
B2RRE7	mmu:73945
B2RS91	mmu:106298
B2RSH2	mmu:14677
B2RU80	mmu:19263
B2RUG9	NA
B2RUJ5	mmu:319924
B2RUP2	mmu:70450
B2RUR8	mmu:229603
B2RUS7	NA
B2RVY9	mmu:381339
B2RW38	mmu:381229
B2RWS6	mmu:328572
B2RX12	mmu:76408
B2RX14	mmu:230594
B2RX88	mmu:211660
B2RXA7	mmu:546726
B2RXC2	mmu:320404
B2RXE2	mmu:277973
B2RXS4	mmu:140570
B2RXV4	mmu:226844
B2RXZ1	mmu:240023
B2RY04	mmu:68813
B2RY50	NA
B5KM66	mmu:75459
B5TVM2	mmu:100039795
B5X0E4	mmu:77706
B7ZDF5	NA
B7ZNG0	NA
B8JK39	mmu:104099
B8ZXI1	mmu:106248
B9EHT4	mmu:76686
B9EHX4	mmu:11920
B9EJ80	mmu:107368
B9EJ86	mmu:237542
B9EJA2	mmu:30785
B9EJV3	mmu:381157
B9EKI3	mmu:232286
B9EKR1	mmu:19283
C0HKC8	mmu:622474
C0HKC9	mmu:622474
C0HKE1	mmu:665433
C0HKE2	mmu:665433
C0HKE3	mmu:665433
C0HKE4	mmu:665433
C0HKE5	mmu:665433
C0HKE6	mmu:665433
C0HKE7	mmu:665433
C0HKE8	mmu:665433
C0HKE9	mmu:665433
C0LLJ0	mmu:381686
C3VD30	mmu:545824
C3VPR6	mmu:434341
C6KI89	mmu:76718
D0G895	mmu:217246
D0QMC3	mmu:100040462
D0VYS2	mmu:245525
D2EAC2	mmu:667118
D2J0Y4	mmu:71007
D3KU66	mmu:107626
D3YU89	NA
D3YUB6	NA
D3YUJ3	mmu:227210
D3YVF0	mmu:238276
D3YVL2	mmu:76670
D3YWH8	NA
D3YWP0	mmu:100504608
D3YWQ0	mmu:320127
D3YX12	NA
D3YXG0	mmu:545370
D3YXJ0	mmu:380921
D3YXK1	mmu:666704
D3YXK2	mmu:224903
D3YYI7	mmu:268291
D3YYM4	mmu:546144
D3YYN8	NA
D3YZ49	NA
D3YZU1	mmu:243961
D3Z120	mmu:232077
D3Z1Q2	mmu:244958
D3Z1U0	NA
D3Z291	mmu:546729
D3Z2R5	mmu:74777
D3Z3K2	mmu:239083
D3Z423	NA
D3Z4I3	mmu:666794
D3Z4R4	mmu:14912
D3Z5L6	NA
D3Z5M8	NA
